Slot_Index,Slot_Name,Value,Numerator,Denominator,Fraction
0,TOTAL,28.1878858024691358,73063,2592,73063/2592
1,ONE,0.8333333333333333,5,6,5/6
2,TWO,1.6666666666666667,5,3,5/3
3,THREE,2.5000000000000000,5,2,5/2
4,FOUR,3.3333333333333333,10,3,10/3
5,FIVE,4.1666666666666667,25,6,25/6
6,SIX,5.0000000000000000,5,1,5/1
7,NUMBERS_SUM,17.5038580246913580,22685,1296,22685/1296
8,MAX,17.5000000000000000,35,2,35/2
9,MIN,17.5000000000000000,35,2,35/2
10,SUMS_DIFFERENCE,0.0000000000000000,0,1,0/1
11,TWO_PAIRS,6.4814814814814815,175,27,175/27
12,STRAIGHT,1.2345679012345679,100,81,100/81
13,FULL_HOUSE,1.8325617283950617,2375,1296,2375/1296
14,CARRIAGE,1.0833333333333333,13,12,13/12
15,YAMB,0.0520833333333333,5,96,5/96
16,COLLECTIONS_SUM,10.6840277777777778,3077,288,3077/288
